id;name;height;weight;hp;attack;defense;s_attack;s_defense;speed;type;evo_set;info;text_basic;height_text;weight_text;hp_text;attack_text;defense_text;s_attack_text;s_defense_text;speed_text;full_text
11;metapod;7;99;50;20;55;25;25;30;{bug};4;This POKÈMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.;metapod: This POKÈMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.;Metapod is 7 decimeters tall.;Metapod weighs 99 hectograms.;Metapod has 50 HP.;Metapod has 20 attack points.;Metapod has 55 defense points.;Metapod has 25 special attack.;Metapod has 25 special defense.;Metapod has 30 speed.;metapod: This POKÈMON is vulnerable to attack while its shell is soft, exposing its weak and tender body. metapod is 7 decimeters tall. metapod weighs 99 hectograms. metapod has 50 HP. metapod has 20 attack points. metapod has 55 defense points. metapod has 25 special attack. metapod has 25 special defense. metapod has 30 speed.
12;butterfree;11;320;60;45;50;90;80;70;{bug,flying};4;In battle, it flaps its wings at high speed to release highly toxic dust into the air.;butterfree: In battle, it flaps its wings at high speed to release highly toxic dust into the air.;Butterfree is 11 decimeters tall.;Butterfree weighs 320 hectograms.;Butterfree has 60 HP.;Butterfree has 45 attack points.;Butterfree has 50 defense points.;Butterfree has 90 special attack.;Butterfree has 80 special defense.;Butterfree has 70 speed.;butterfree: In battle, it flaps its wings at high speed to release highly toxic dust into the air. butterfree is 11 decimeters tall. butterfree weighs 320 hectograms. butterfree has 60 HP. butterfree has 45 attack points. butterfree has 50 defense points. butterfree has 90 special attack. butterfree has 80 special defense. butterfree has 70 speed.
13;weedle;3;32;40;35;30;20;20;50;{bug,poison};5;Often found in forests, eating leaves. It has a sharp venomous stinger on its head.;weedle: Often found in forests, eating leaves. It has a sharp venomous stinger on its head.;Weedle is 3 decimeters tall.;Weedle weighs 32 hectograms.;Weedle has 40 HP.;Weedle has 35 attack points.;Weedle has 30 defense points.;Weedle has 20 special attack.;Weedle has 20 special defense.;Weedle has 50 speed.;weedle: Often found in forests, eating leaves. It has a sharp venomous stinger on its head. weedle is 3 decimeters tall. weedle weighs 32 hectograms. weedle has 40 HP. weedle has 35 attack points. weedle has 30 defense points. weedle has 20 special attack. weedle has 20 special defense. weedle has 50 speed.
14;kakuna;6;100;45;25;50;25;25;35;{bug,poison};5;Almost incapable of moving, this POKÈMON can only harden its shell to protect itself from predators.;kakuna: Almost incapable of moving, this POKÈMON can only harden its shell to protect itself from predators.;Kakuna is 6 decimeters tall.;Kakuna weighs 100 hectograms.;Kakuna has 45 HP.;Kakuna has 25 attack points.;Kakuna has 50 defense points.;Kakuna has 25 special attack.;Kakuna has 25 special defense.;Kakuna has 35 speed.;kakuna: Almost incapable of moving, this POKÈMON can only harden its shell to protect itself from predators. kakuna is 6 decimeters tall. kakuna weighs 100 hectograms. kakuna has 45 HP. kakuna has 25 attack points. kakuna has 50 defense points. kakuna has 25 special attack. kakuna has 25 special defense. kakuna has 35 speed.
15;beedrill;10;295;65;90;40;45;80;75;{bug,poison};5;It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.;beedrill: It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.;Beedrill is 10 decimeters tall.;Beedrill weighs 295 hectograms.;Beedrill has 65 HP.;Beedrill has 90 attack points.;Beedrill has 40 defense points.;Beedrill has 45 special attack.;Beedrill has 80 special defense.;Beedrill has 75 speed.;beedrill: It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly. beedrill is 10 decimeters tall. beedrill weighs 295 hectograms. beedrill has 65 HP. beedrill has 90 attack points. beedrill has 40 defense points. beedrill has 45 special attack. beedrill has 80 special defense. beedrill has 75 speed.
16;pidgey;3;18;40;45;40;35;35;56;{normal,flying};6;A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.;pidgey: A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.;Pidgey is 3 decimeters tall.;Pidgey weighs 18 hectograms.;Pidgey has 40 HP.;Pidgey has 45 attack points.;Pidgey has 40 defense points.;Pidgey has 35 special attack.;Pidgey has 35 special defense.;Pidgey has 56 speed.;pidgey: A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand. pidgey is 3 decimeters tall. pidgey weighs 18 hectograms. pidgey has 40 HP. pidgey has 45 attack points. pidgey has 40 defense points. pidgey has 35 special attack. pidgey has 35 special defense. pidgey has 56 speed.
17;pidgeotto;11;300;63;60;55;50;50;71;{normal,flying};6;Very protective of its sprawling territorial area, this POKÈMON will fiercely peck at any intruder.;pidgeotto: Very protective of its sprawling territorial area, this POKÈMON will fiercely peck at any intruder.;Pidgeotto is 11 decimeters tall.;Pidgeotto weighs 300 hectograms.;Pidgeotto has 63 HP.;Pidgeotto has 60 attack points.;Pidgeotto has 55 defense points.;Pidgeotto has 50 special attack.;Pidgeotto has 50 special defense.;Pidgeotto has 71 speed.;pidgeotto: Very protective of its sprawling territorial area, this POKÈMON will fiercely peck at any intruder. pidgeotto is 11 decimeters tall. pidgeotto weighs 300 hectograms. pidgeotto has 63 HP. pidgeotto has 60 attack points. pidgeotto has 55 defense points. pidgeotto has 50 special attack. pidgeotto has 50 special defense. pidgeotto has 71 speed.
18;pidgeot;15;395;83;80;75;70;70;101;{normal,flying};6;When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.;pidgeot: When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.;Pidgeot is 15 decimeters tall.;Pidgeot weighs 395 hectograms.;Pidgeot has 83 HP.;Pidgeot has 80 attack points.;Pidgeot has 75 defense points.;Pidgeot has 70 special attack.;Pidgeot has 70 special defense.;Pidgeot has 101 speed.;pidgeot: When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP. pidgeot is 15 decimeters tall. pidgeot weighs 395 hectograms. pidgeot has 83 HP. pidgeot has 80 attack points. pidgeot has 75 defense points. pidgeot has 70 special attack. pidgeot has 70 special defense. pidgeot has 101 speed.
19;rattata;3;35;30;56;35;25;35;72;{normal};7;Bites anything when it attacks. Small and very quick, it is a common sight in many places.;rattata: Bites anything when it attacks. Small and very quick, it is a common sight in many places.;Rattata is 3 decimeters tall.;Rattata weighs 35 hectograms.;Rattata has 30 HP.;Rattata has 56 attack points.;Rattata has 35 defense points.;Rattata has 25 special attack.;Rattata has 35 special defense.;Rattata has 72 speed.;rattata: Bites anything when it attacks. Small and very quick, it is a common sight in many places. rattata is 3 decimeters tall. rattata weighs 35 hectograms. rattata has 30 HP. rattata has 56 attack points. rattata has 35 defense points. rattata has 25 special attack. rattata has 35 special defense. rattata has 72 speed.
20;raticate;7;185;55;81;60;50;70;97;{normal};7;It uses its whis≠ kers to maintain its balance. It apparently slows down if they are cut off.;raticate: It uses its whis≠ kers to maintain its balance. It apparently slows down if they are cut off.;Raticate is 7 decimeters tall.;Raticate weighs 185 hectograms.;Raticate has 55 HP.;Raticate has 81 attack points.;Raticate has 60 defense points.;Raticate has 50 special attack.;Raticate has 70 special defense.;Raticate has 97 speed.;raticate: It uses its whis≠ kers to maintain its balance. It apparently slows down if they are cut off. raticate is 7 decimeters tall. raticate weighs 185 hectograms. raticate has 55 HP. raticate has 81 attack points. raticate has 60 defense points. raticate has 50 special attack. raticate has 70 special defense. raticate has 97 speed.
21;spearow;3;20;40;60;30;31;31;70;{normal,flying};8;It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.;spearow: It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.;Spearow is 3 decimeters tall.;Spearow weighs 20 hectograms.;Spearow has 40 HP.;Spearow has 60 attack points.;Spearow has 30 defense points.;Spearow has 31 special attack.;Spearow has 31 special defense.;Spearow has 70 speed.;spearow: It flaps its small wings busily to fly. Using its beak, it searches in grass for prey. spearow is 3 decimeters tall. spearow weighs 20 hectograms. spearow has 40 HP. spearow has 60 attack points. spearow has 30 defense points. spearow has 31 special attack. spearow has 31 special defense. spearow has 70 speed.
22;fearow;12;380;65;90;65;61;61;100;{normal,flying};8;With its huge and magnificent wings, it can keep aloft without ever having to land for rest.;fearow: With its huge and magnificent wings, it can keep aloft without ever having to land for rest.;Fearow is 12 decimeters tall.;Fearow weighs 380 hectograms.;Fearow has 65 HP.;Fearow has 90 attack points.;Fearow has 65 defense points.;Fearow has 61 special attack.;Fearow has 61 special defense.;Fearow has 100 speed.;fearow: With its huge and magnificent wings, it can keep aloft without ever having to land for rest. fearow is 12 decimeters tall. fearow weighs 380 hectograms. fearow has 65 HP. fearow has 90 attack points. fearow has 65 defense points. fearow has 61 special attack. fearow has 61 special defense. fearow has 100 speed.
23;ekans;20;69;35;60;44;40;54;55;{poison};9;Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.;ekans: Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.;Ekans is 20 decimeters tall.;Ekans weighs 69 hectograms.;Ekans has 35 HP.;Ekans has 60 attack points.;Ekans has 44 defense points.;Ekans has 40 special attack.;Ekans has 54 special defense.;Ekans has 55 speed.;ekans: Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole. ekans is 20 decimeters tall. ekans weighs 69 hectograms. ekans has 35 HP. ekans has 60 attack points. ekans has 44 defense points. ekans has 40 special attack. ekans has 54 special defense. ekans has 55 speed.
24;arbok;35;650;60;95;69;65;79;80;{poison};9;It is rumored that the ferocious warning markings on its belly differ from area to area.;arbok: It is rumored that the ferocious warning markings on its belly differ from area to area.;Arbok is 35 decimeters tall.;Arbok weighs 650 hectograms.;Arbok has 60 HP.;Arbok has 95 attack points.;Arbok has 69 defense points.;Arbok has 65 special attack.;Arbok has 79 special defense.;Arbok has 80 speed.;arbok: It is rumored that the ferocious warning markings on its belly differ from area to area. arbok is 35 decimeters tall. arbok weighs 650 hectograms. arbok has 60 HP. arbok has 95 attack points. arbok has 69 defense points. arbok has 65 special attack. arbok has 79 special defense. arbok has 80 speed.
25;pikachu;4;60;35;55;40;50;50;90;{electric};10;When several of these POKÈMON gather, their electricity could build and cause lightning storms.;pikachu: When several of these POKÈMON gather, their electricity could build and cause lightning storms.;Pikachu is 4 decimeters tall.;Pikachu weighs 60 hectograms.;Pikachu has 35 HP.;Pikachu has 55 attack points.;Pikachu has 40 defense points.;Pikachu has 50 special attack.;Pikachu has 50 special defense.;Pikachu has 90 speed.;pikachu: When several of these POKÈMON gather, their electricity could build and cause lightning storms. pikachu is 4 decimeters tall. pikachu weighs 60 hectograms. pikachu has 35 HP. pikachu has 55 attack points. pikachu has 40 defense points. pikachu has 50 special attack. pikachu has 50 special defense. pikachu has 90 speed.
26;raichu;8;300;60;90;55;90;80;110;{electric};10;Its long tail serves as a ground to protect itself from its own high-voltage power.;raichu: Its long tail serves as a ground to protect itself from its own high-voltage power.;Raichu is 8 decimeters tall.;Raichu weighs 300 hectograms.;Raichu has 60 HP.;Raichu has 90 attack points.;Raichu has 55 defense points.;Raichu has 90 special attack.;Raichu has 80 special defense.;Raichu has 110 speed.;raichu: Its long tail serves as a ground to protect itself from its own high-voltage power. raichu is 8 decimeters tall. raichu weighs 300 hectograms. raichu has 60 HP. raichu has 90 attack points. raichu has 55 defense points. raichu has 90 special attack. raichu has 80 special defense. raichu has 110 speed.
27;sandshrew;6;120;50;75;85;20;30;40;{ground};11;Burrows deep underground in arid locations far from water. It only emerges to hunt for food.;sandshrew: Burrows deep underground in arid locations far from water. It only emerges to hunt for food.;Sandshrew is 6 decimeters tall.;Sandshrew weighs 120 hectograms.;Sandshrew has 50 HP.;Sandshrew has 75 attack points.;Sandshrew has 85 defense points.;Sandshrew has 20 special attack.;Sandshrew has 30 special defense.;Sandshrew has 40 speed.;sandshrew: Burrows deep underground in arid locations far from water. It only emerges to hunt for food. sandshrew is 6 decimeters tall. sandshrew weighs 120 hectograms. sandshrew has 50 HP. sandshrew has 75 attack points. sandshrew has 85 defense points. sandshrew has 20 special attack. sandshrew has 30 special defense. sandshrew has 40 speed.
28;sandslash;10;295;75;100;110;45;55;65;{ground};11;Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.;sandslash: Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.;Sandslash is 10 decimeters tall.;Sandslash weighs 295 hectograms.;Sandslash has 75 HP.;Sandslash has 100 attack points.;Sandslash has 110 defense points.;Sandslash has 45 special attack.;Sandslash has 55 special defense.;Sandslash has 65 speed.;sandslash: Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape. sandslash is 10 decimeters tall. sandslash weighs 295 hectograms. sandslash has 75 HP. sandslash has 100 attack points. sandslash has 110 defense points. sandslash has 45 special attack. sandslash has 55 special defense. sandslash has 65 speed.
29;nidoran-f;4;70;55;47;52;40;40;41;{poison};12;Although small, its venomous barbs render this POKÈMON dangerous. The female has smaller horns.;nidoran-f: Although small, its venomous barbs render this POKÈMON dangerous. The female has smaller horns.;Nidoran-F is 4 decimeters tall.;Nidoran-F weighs 70 hectograms.;Nidoran-F has 55 HP.;Nidoran-F has 47 attack points.;Nidoran-F has 52 defense points.;Nidoran-F has 40 special attack.;Nidoran-F has 40 special defense.;Nidoran-F has 41 speed.;nidoran-f: Although small, its venomous barbs render this POKÈMON dangerous. The female has smaller horns. nidoran-f is 4 decimeters tall. nidoran-f weighs 70 hectograms. nidoran-f has 55 HP. nidoran-f has 47 attack points. nidoran-f has 52 defense points. nidoran-f has 40 special attack. nidoran-f has 40 special defense. nidoran-f has 41 speed.
30;nidorina;8;200;70;62;67;55;55;56;{poison};12;The female's horn develops slowly. Prefers physical attacks such as clawing and biting.;nidorina: The female's horn develops slowly. Prefers physical attacks such as clawing and biting.;Nidorina is 8 decimeters tall.;Nidorina weighs 200 hectograms.;Nidorina has 70 HP.;Nidorina has 62 attack points.;Nidorina has 67 defense points.;Nidorina has 55 special attack.;Nidorina has 55 special defense.;Nidorina has 56 speed.;nidorina: The female's horn develops slowly. Prefers physical attacks such as clawing and biting. nidorina is 8 decimeters tall. nidorina weighs 200 hectograms. nidorina has 70 HP. nidorina has 62 attack points. nidorina has 67 defense points. nidorina has 55 special attack. nidorina has 55 special defense. nidorina has 56 speed.
31;nidoqueen;13;600;90;92;87;75;85;76;{poison,ground};12;Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.;nidoqueen: Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.;Nidoqueen is 13 decimeters tall.;Nidoqueen weighs 600 hectograms.;Nidoqueen has 90 HP.;Nidoqueen has 92 attack points.;Nidoqueen has 87 defense points.;Nidoqueen has 75 special attack.;Nidoqueen has 85 special defense.;Nidoqueen has 76 speed.;nidoqueen: Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves. nidoqueen is 13 decimeters tall. nidoqueen weighs 600 hectograms. nidoqueen has 90 HP. nidoqueen has 92 attack points. nidoqueen has 87 defense points. nidoqueen has 75 special attack. nidoqueen has 85 special defense. nidoqueen has 76 speed.
32;nidoran-m;5;90;46;57;40;40;40;50;{poison};13;Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.;nidoran-m: Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.;Nidoran-M is 5 decimeters tall.;Nidoran-M weighs 90 hectograms.;Nidoran-M has 46 HP.;Nidoran-M has 57 attack points.;Nidoran-M has 40 defense points.;Nidoran-M has 40 special attack.;Nidoran-M has 40 special defense.;Nidoran-M has 50 speed.;nidoran-m: Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom. nidoran-m is 5 decimeters tall. nidoran-m weighs 90 hectograms. nidoran-m has 46 HP. nidoran-m has 57 attack points. nidoran-m has 40 defense points. nidoran-m has 40 special attack. nidoran-m has 40 special defense. nidoran-m has 50 speed.
33;nidorino;9;195;61;72;57;55;55;65;{poison};13;An aggressive POKÈMON that is quick to attack. The horn on its head secretes a powerful venom.;nidorino: An aggressive POKÈMON that is quick to attack. The horn on its head secretes a powerful venom.;Nidorino is 9 decimeters tall.;Nidorino weighs 195 hectograms.;Nidorino has 61 HP.;Nidorino has 72 attack points.;Nidorino has 57 defense points.;Nidorino has 55 special attack.;Nidorino has 55 special defense.;Nidorino has 65 speed.;nidorino: An aggressive POKÈMON that is quick to attack. The horn on its head secretes a powerful venom. nidorino is 9 decimeters tall. nidorino weighs 195 hectograms. nidorino has 61 HP. nidorino has 72 attack points. nidorino has 57 defense points. nidorino has 55 special attack. nidorino has 55 special defense. nidorino has 65 speed.
34;nidoking;14;620;81;102;77;85;75;85;{poison,ground};13;It uses its powerful tail in battle to smash, constrict, then break the prey's bones.;nidoking: It uses its powerful tail in battle to smash, constrict, then break the prey's bones.;Nidoking is 14 decimeters tall.;Nidoking weighs 620 hectograms.;Nidoking has 81 HP.;Nidoking has 102 attack points.;Nidoking has 77 defense points.;Nidoking has 85 special attack.;Nidoking has 75 special defense.;Nidoking has 85 speed.;nidoking: It uses its powerful tail in battle to smash, constrict, then break the prey's bones. nidoking is 14 decimeters tall. nidoking weighs 620 hectograms. nidoking has 81 HP. nidoking has 102 attack points. nidoking has 77 defense points. nidoking has 85 special attack. nidoking has 75 special defense. nidoking has 85 speed.
35;clefairy;6;75;70;45;48;60;65;35;{fairy};14;Its magical and cute appeal has many admirers. It is rare and found only in certain areas.;clefairy: Its magical and cute appeal has many admirers. It is rare and found only in certain areas.;Clefairy is 6 decimeters tall.;Clefairy weighs 75 hectograms.;Clefairy has 70 HP.;Clefairy has 45 attack points.;Clefairy has 48 defense points.;Clefairy has 60 special attack.;Clefairy has 65 special defense.;Clefairy has 35 speed.;clefairy: Its magical and cute appeal has many admirers. It is rare and found only in certain areas. clefairy is 6 decimeters tall. clefairy weighs 75 hectograms. clefairy has 70 HP. clefairy has 45 attack points. clefairy has 48 defense points. clefairy has 60 special attack. clefairy has 65 special defense. clefairy has 35 speed.
36;clefable;13;400;95;70;73;95;90;60;{fairy};14;A timid fairy POKÈMON that is rarely seen. It will run and hide the moment it senses people.;clefable: A timid fairy POKÈMON that is rarely seen. It will run and hide the moment it senses people.;Clefable is 13 decimeters tall.;Clefable weighs 400 hectograms.;Clefable has 95 HP.;Clefable has 70 attack points.;Clefable has 73 defense points.;Clefable has 95 special attack.;Clefable has 90 special defense.;Clefable has 60 speed.;clefable: A timid fairy POKÈMON that is rarely seen. It will run and hide the moment it senses people. clefable is 13 decimeters tall. clefable weighs 400 hectograms. clefable has 95 HP. clefable has 70 attack points. clefable has 73 defense points. clefable has 95 special attack. clefable has 90 special defense. clefable has 60 speed.
37;vulpix;6;99;38;41;40;50;65;65;{fire};15;At the time of birth, it has just one tail. The tail splits from its tip as it grows older.;vulpix: At the time of birth, it has just one tail. The tail splits from its tip as it grows older.;Vulpix is 6 decimeters tall.;Vulpix weighs 99 hectograms.;Vulpix has 38 HP.;Vulpix has 41 attack points.;Vulpix has 40 defense points.;Vulpix has 50 special attack.;Vulpix has 65 special defense.;Vulpix has 65 speed.;vulpix: At the time of birth, it has just one tail. The tail splits from its tip as it grows older. vulpix is 6 decimeters tall. vulpix weighs 99 hectograms. vulpix has 38 HP. vulpix has 41 attack points. vulpix has 40 defense points. vulpix has 50 special attack. vulpix has 65 special defense. vulpix has 65 speed.
38;ninetales;11;199;73;76;75;81;100;100;{fire};15;Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.;ninetales: Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.;Ninetales is 11 decimeters tall.;Ninetales weighs 199 hectograms.;Ninetales has 73 HP.;Ninetales has 76 attack points.;Ninetales has 75 defense points.;Ninetales has 81 special attack.;Ninetales has 100 special defense.;Ninetales has 100 speed.;ninetales: Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse. ninetales is 11 decimeters tall. ninetales weighs 199 hectograms. ninetales has 73 HP. ninetales has 76 attack points. ninetales has 75 defense points. ninetales has 81 special attack. ninetales has 100 special defense. ninetales has 100 speed.
